標題,是否免費,價格,活動日期,圖片網址,活動連結
台北 | 鐵達尼號電影音樂會2025台北場｜台北流行音樂中心,付費,HK$ 216,6月8日(週日),"https://res.klook.com/image/upload/x_0,y_66,w_1322,h_1851,c_crop/v1744360159/events_admin/h8cuvz1xbe1hlkdshuys.jpg",https://www.klook.com/zh-TW/event-detail/101029270-2025-titanic-concert-taipei/
台中 | 2025 NTT Arts NOVA 新藝計畫 熊世翔╳洪翊博《日夜顛倒的唐吉訶德》,付費,HK$ 144,4月19日(週六) - 4月20日(週日),"https://res.klook.com/image/upload/x_0,y_0,w_300,h_420,c_crop/v1734949186/events_admin/x3pjt1p6rvqbb2ivuxnr.jpg",https://www.klook.com/zh-TW/event-detail/101027976-2025-ntt-arts-nova-show/
台北 | 大衛．吉塞森《給你的最後一封情書》｜劇場演出｜2025台灣國際藝術節TIFA｜國家兩廳院,付費,HK$ 383,4月29日(週二) - 5月4日(週日),"https://res.klook.com/image/upload/x_0,y_0,w_1463,h_2048,c_crop/v1734678022/events_admin/j00lg91nrfl1pl8frwkz.jpg",https://www.klook.com/zh-TW/event-detail/101027952-2025-david-geselson-doreen/
台北 | 菲利普．肯恩《人間樂園》｜戲劇 x 音樂 x 肢體表演｜2025台灣國際藝術節TIFA｜國家兩廳院,付費,HK$ 144,4月18日(週五) - 4月20日(週日),"https://res.klook.com/image/upload/x_0,y_12,w_1446,h_2024,c_crop/v1734603258/events_admin/kdf8ypi8rpdvuaoarbzc.jpg",https://www.klook.com/zh-TW/event-detail/101027942-2025-the-garden-of-delights/
高雄 | 2025江蕙演唱會高雄場｜高雄巨蛋,付費,HK$ 192,7月11日(週五) - 7月26日(週六),"https://res.klook.com/image/upload/x_0,y_42,w_1369,h_1917,c_crop/v1734498687/events_admin/prggwbh7hftiuyfueetu.jpg",https://www.klook.com/zh-TW/event-detail/101027913-2025-jodychiang-kaohsiung/
台北 | 2025江蕙演唱會台北場｜台北小巨蛋,付費,HK$ 192,8月8日(週五) - 9月1日(週一),"https://res.klook.com/image/upload/x_0,y_42,w_1369,h_1917,c_crop/v1734498311/events_admin/juac9hykfbydme7ecm5e.jpg",https://www.klook.com/zh-TW/event-detail/101027912-2025-jodychiang-concert-taipei/
桃園 | NMIXX演唱會2025台北站｜NMIXX 2ND FAN CONCERT TOUR <NMIXX CHANGE UP : MIXX LAB> IN TAIPEI｜林口體育館,付費,HK$ 930,4月19日(週六) - 4月20日(週日),"https://res.klook.com/image/upload/x_58,y_0,w_964,h_1350,c_crop/v1738740949/events_admin/cwiadk1rxatwq71kkuev.jpg",https://www.klook.com/zh-TW/event-detail/101027903-2025-nmixx-taipei-concert/
新北 | DIR EN GREY演唱會2025台北站｜DIR EN GREY「TOUR25 WHO IS THIS HELL FOR?」LIVE IN TAIPEI｜Zepp New Taipei,付費,HK$ 671,5月10日(週六),"https://res.klook.com/image/upload/x_0,y_10,w_1448,h_2027,c_crop/v1734417037/events_admin/d73tqwtfdmfpclanghav.jpg",https://www.klook.com/zh-TW/event-detail/101027891-2025-dir-en-grey-taipei/
高雄 | 高雄駁二｜have a____dream【門票】,付費,HK$ 11,4月14日(週一) - 5月18日(週日),https://res.klook.com/image/upload/KLOOK_dream_326x460_展演頁面活動首圖_lu5iyg.jpg,https://www.klook.com/zh-TW/activity/140498-have-a-dream/
屏東縣 | 奈良美智特展2025屏東｜奈良美智特展「跟著朦朧潮濕的一天去屏東」｜屏東美術館,免費,免費,2024年12月20日(週五) - 2025年5月25日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1734072933/events_admin/liblb5kxxwtenzrowlju.jpg",https://www.klook.com/zh-TW/event-detail/101027868-2025-yoshitomo-nara-pingtung/
高雄 | 音樂劇《悲慘世界》40周年紀念版音樂會世界巡演｜高雄場｜衛武營,付費,HK$ 307,7月10日(週四) - 7月27日(週日),"https://res.klook.com/image/upload/x_0,y_55,w_1369,h_1917,c_crop/v1734071235/events_admin/l5mdtdo2w1yj8dnka2e7.jpg",https://www.klook.com/zh-TW/event-detail/101027867-2025-les-miserables-concert/
台北 | 音樂劇《悲慘世界》40周年紀念版音樂會世界巡演｜台北場｜國家兩廳院,付費,HK$ 307,6月12日(週四) - 7月6日(週日),"https://res.klook.com/image/upload/x_0,y_55,w_1369,h_1917,c_crop/v1734070763/events_admin/vm2cajomrfkl2xwmp8jl.jpg",https://www.klook.com/zh-TW/event-detail/101027866-2025-les-miserables-concert/
台北 | 2025台灣國際藝術節 TIFA｜國家兩廳院,付費,價格待公布,2月21日(週五) - 5月18日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1733478335/events_admin/fddytkxd9avs0gcpfxfz.jpg",https://www.klook.com/zh-TW/event-detail/101027782-2025-tifa/
台北 | Gracie Abrams葛蕾西演唱會2025台北站｜Gracie Abrams: The Secret of Us Tour in Taipei｜台北國際會議中心,付費,HK$ 551,4月17日(週四),"https://res.klook.com/image/upload/x_5,y_0,w_834,h_1167,c_crop/v1733199101/events_admin/u57jzkdd2ubbzkubckt1.jpg",https://www.klook.com/zh-TW/event-detail/101027695-2025-gracie-abrams-concert-tpe/
高雄 | 柯南路跑｜2025《名偵探柯南》解謎路跑高雄場｜夢時代購物中心,付費,HK$ 307,4月26日(週六),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1733133527/events_admin/m7p2djeqmgnqs5bx19xb.jpg",https://www.klook.com/zh-TW/event-detail/101027677-2025-conan-kaohsiung-run/
屏東縣 | 墾丁悠活渡假村星空夜秀,付費,HK$ 67,4月14日(週一) - 12月31日(週三),https://res.klook.com/image/upload/截圖_2024-11-21_上午9.54.58_atex64.png,https://www.klook.com/zh-TW/activity/114314-night-show-at-yoho-beach-resort/
台北 | 台北展覽｜草間彌生的軌跡與奇跡 W Collection & More 1951-2005,付費,HK$ 91,4月15日(週二) - 5月4日(週日),https://res.klook.com/image/upload/5_Klook_展演頁面活動首圖_326x460px_1_srkefc.jpg,https://www.klook.com/zh-TW/activity/134423-kusama-yayoi-1951-2005-from-w-collection-and-more/
台北 | JJ 林俊傑演唱會2025台北站｜JJ 林俊傑 JJ20 FINAL LAP世界巡迴演唱會台北站｜台北大巨蛋,付費,HK$ 307,6月7日(週六) - 6月8日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1741927246/events_admin/tvwajtm5qssstvnfbxn5.jpg",https://www.klook.com/zh-TW/event-detail/101027267-2025-jj-lin-concert-taipei/
台北 | 反覆演練Re-her-sal：預演,免費,免費,2024年10月19日(週六) - 2025年12月15日(週一),"https://res.klook.com/image/upload/x_0,y_7,w_1360,h_1904,c_crop/v1729046669/events_admin/psabato73pwlvkasbzry.jpg",https://www.klook.com/zh-TW/event-detail/101026874-2024-re-her-sal-exhibition/
"台北 | Techno Temple: NEGITIV (BCB, DE)",付費,HK$ 239,4月19日(週六),https://res.klook.com/image/upload/Klook_1_Vertical_Small_326X460_10_ygs6yy.png,https://www.klook.com/zh-TW/activity/133551-techno-temple/
台北 | Art Aquarium(金魚藝術展) in Taipei,付費,HK$ 48,4月14日(週一) - 5月31日(週六),https://res.klook.com/image/upload/326mm_460mm_o1y6uo.png,https://www.klook.com/zh-TW/activity/132339-art-aquarium-in-taipei/
台北 | 當自由盛開成舞｜忠泰美術館2024奧夫塞計畫｜曾令理 x 偶然設計,免費,免費,2024年8月31日(週六) - 2025年8月31日(週日),"https://res.klook.com/image/upload/x_5,y_0,w_321,h_450,c_crop/v1725331514/events_admin/hqzdrk9nqrg01vhbh485.jpg",https://www.klook.com/zh-TW/event-detail/101026257-2024-freedom-blooms-into-dance/
高雄 | 藍寶石大歌廳《秀場傳奇》故事展｜高雄流行音樂中心,付費,HK$ 40,4月16日(週三) - 12月31日(週三),https://res.klook.com/image/upload/0806_藍寶石故事展_326x460_dk8n5p.png,https://www.klook.com/zh-TW/activity/121910-sapphire-hall-legendary-show-story-exhibition/
台南市 | 台南奇美博物館門票,付費,HK$ 48,4月14日(週一) - 10月10日(週五),https://res.klook.com/image/upload/截圖_2024-07-03_下午8.42.29_xjbzp3.png,https://www.klook.com/zh-TW/activity/8875-chimei-museum-permanent-exhibition-ticket-tainan/
高雄 | 高雄市立美術館門票,付費,HK$ 21,4月14日(週一) - 10月10日(週五),https://res.klook.com/image/upload/20240613_豐趣_banner_326X460_ca6b5a.jpg,https://www.klook.com/zh-TW/activity/117472-kaohsiung-museum-of-fine-art-ticket/
台北 | 幻隱光靈：屍禁,付費,HK$ 527,4月14日(週一) - 4月30日(週三),https://res.klook.com/image/upload/截圖_2024-10-20_下午5.08.10_futp3h.png,https://www.klook.com/zh-TW/activity/119464-goblet-of-soul-forbidden-zone/
台北 | 幻隱光靈：仙蹤,付費,HK$ 60,4月14日(週一) - 6月30日(週一),https://res.klook.com/image/upload/展演頁面活動首圖-仙蹤_326x460_x3gc83.jpg,https://www.klook.com/zh-TW/activity/119455-goblet-of-soul-wonderland/
台中 | 美洲瘋馬大馬戲團＆魔術泡泡歡樂世界＆后里馬場門票,付費,HK$ 67,4月14日(週一) - 5月31日(週六),https://res.klook.com/image/upload/后里馬戲團part2_klook_326x460_直式_fp7eaf.png,https://www.klook.com/zh-TW/activity/118121-crazy-horse-park-circus/
台中 | 2025兒童夜訪歌劇院【3月、4月】,付費,HK$ 156,3月28日(週五) - 4月18日(週五),"https://res.klook.com/image/upload/x_650,y_0,w_1429,h_2001,c_crop/v1741090883/events_admin/gxthsoe6476phfmz8opp.jpg",https://www.klook.com/zh-TW/event-detail/101024757-2024-ntt-children-night-visit/
高雄 | teamLab共創！未來園 高雄,付費,HK$ 93,6月7日(週六) - 10月12日(週日),https://res.klook.com/image/upload/klook_全啟_326x460_wtl7bg.jpg,https://www.klook.com/zh-TW/activity/115951-teamlab-future-park/
台北 | 親子音樂劇《阿甯咕又闖禍了YA~》(售票中),付費,HK$ 144,5月24日(週六) - 5月26日(週一),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1742880494/events_admin/t5sdyq17dyilngqh05ml.jpg",https://www.klook.com/zh-TW/event-detail/101023975-2024-a-nee-gu-musical/
高雄 | IMVER Museum,付費,HK$ 45,2025年4月14日(週一) - 2026年3月9日(週一),https://res.klook.com/image/upload/KLOOK網頁banner_工作區域_1_0_qmdcee.jpg,https://www.klook.com/zh-TW/activity/107336-future-ai/
宜蘭縣 | 2025 宜蘭綠色博覽會,付費,HK$ 36,4月14日(週一) - 5月11日(週日),https://res.klook.com/image/upload/KLOOK_展演頁面活動首圖_326x460_直式_rqpf00.jpg,https://www.klook.com/zh-TW/activity/109959-yilan-green-expo/
高雄 | POP! POP! POP! 流行音樂互動展｜高雄流行音樂中心,付費,HK$ 24,4月14日(週一) - 10月10日(週五),https://res.klook.com/image/upload/常設展klook_326x460_frshdr.png,https://www.klook.com/zh-TW/activity/87496-pop-pop-pop-an-interactive-journey/
台北 | 愛手創日本手作祭 第七回 百職日行,付費,HK$ 47,6月13日(週五) - 6月15日(週日),https://res.klook.com/image/upload/日本祭_Klook網路用圖_活動首圖326x460px_moa095.jpg,https://www.klook.com/zh-TW/activity/87261-ishands-international-craft-design-festival/
台南市 | 台南永樂町鼓茶樓：Live 秀門票,付費,HK$ 117,2025年4月19日(週六) - 2026年4月5日(週日),https://res.klook.com/image/upload/0B26199B-A1AA-4998-88E6-3A098F9F50B0_1_201_a_lsrplq.jpg,https://www.klook.com/zh-TW/activity/28945-eirakucho-drum-tea-house-show-ticket-meal/
高雄 | 探索衛武營國家藝術文化中心,付費,HK$ 36,4月14日(週一) - 10月10日(週五),https://res.klook.com/image/upload/fotor_2023-3-14_14_23_55_fokxt9.png,https://www.klook.com/zh-TW/activity/83320-weiwuying-concert-hall-ticket-kaohsiung/
台北 | Voices X Photo ONE 2025,付費,HK$ 84,5月8日(週四) - 5月12日(週一),https://res.klook.com/image/upload/展演頁面活動首圖-800_1066_kejgb8.jpg,https://www.klook.com/zh-TW/activity/77617-voices-x-photo-one-2025/
台北 | 跨‧交‧通：從「大阪商船株式會社臺北支店」到「國家攝影文化中心臺北館」｜常設展出｜國家攝影文化中心,免費,免費,2021年3月25日(週四) - 2025年12月31日(週三),"https://res.klook.com/image/upload/x_1,y_0,w_521,h_729,c_crop/v1663316124/events_admin/tuxbnwbu2irzgokks6hu.jpg",https://www.klook.com/zh-TW/event-detail/101009551-2022-trans-communication/
台北 | 2025 SPACEPORT 太空港音樂藝術嘉年華｜大佳河濱公園,付費,HK$ 791,5月17日(週六) - 5月18日(週日),"https://res.klook.com/image/upload/x_0,y_5,w_850,h_1190,c_crop/v1742480613/events_admin/npln5g8jtvmkjrojwkpy.jpg",https://www.klook.com/zh-TW/event-detail/101008654-2022-spaceport/
台北 | 唱 我們的歌   流行音樂故事展｜門票｜臺北流行音樂中心,付費,HK$ 42,4月14日(週一) - 10月10日(週五),https://res.klook.com/image/upload/展演頁面活動首圖_qqmx1m.jpg,https://www.klook.com/zh-TW/activity/70429-music-island-stories-pop-music-in-taiwan-taipei/
新竹 | 2025 風神音樂祭2.0【全家紙票入場】,付費,HK$ 287,6月28日(週六) - 6月29日(週日),"https://res.klook.com/image/upload/x_235,y_0,w_3571,h_5000,c_crop/v1743066676/events_admin/gvdf8jmpb6uxvoo2hidg.jpg",https://www.klook.com/zh-TW/event-detail/102000258-wind-top-fest/
